Date,3105.TWO,3037.TW,6515.TW,00981A.TW,2383.TW,3081.TWO,6274.TWO,2454.TW
2025-06-18,0.00118904,0.01970443,0.00000000,0.00186224,-0.02537486,0.01774194,-0.00464037,0.00784314
2025-06-19,-0.01781473,-0.02898551,-0.02024291,-0.00464686,0.00000000,0.00950872,0.00000000,-0.01556420
2025-06-20,-0.01451024,-0.00497512,-0.02892562,-0.00560228,-0.00828402,0.00156986,-0.03030303,-0.01185771
2025-06-23,0.00736194,0.10000000,0.04255319,0.00000000,-0.00477327,-0.02507837,0.02884615,0.00400000
2025-06-24,0.03410479,0.01363636,0.02857143,0.01971831,0.03117506,0.07234727,0.04672897,0.01195219
2025-06-25,0.01766784,0.02242152,0.01190476,0.01104971,-0.00232558,0.01199400,-0.01116071,0.01968504
2025-06-26,-0.00578704,0.00000000,-0.03921569,-0.00637520,-0.00349650,0.02518519,0.00451467,-0.00386100
2025-06-27,0.00000000,-0.00877193,0.00408163,-0.00091661,0.01286550,0.00000000,-0.00224719,-0.00387597
2025-06-30,0.00931310,0.00884956,0.05284553,0.00458717,0.01847575,-0.05346821,0.02477477,-0.02723735
2025-07-01,-0.01153403,-0.01754386,0.00000000,0.00639275,0.02040816,0.00610687,0.02197802,0.02000000
2025-07-02,-0.01283546,0.00000000,-0.01930502,0.00272230,0.00333333,-0.02427921,-0.03655914,0.01568627
2025-07-03,0.04255317,0.04464286,0.01181102,0.01357463,0.02768549,-0.00155521,0.02901786,-0.01930502
2025-07-04,-0.02494328,0.00854701,0.01556420,-0.00267855,-0.00538793,-0.01557632,0.02169197,0.01574803
2025-07-07,-0.01860463,-0.02542373,-0.04597701,-0.01163833,-0.02383532,0.00000000,-0.02760085,-0.00775194
2025-07-08,-0.00473935,0.00869565,-0.09638554,0.00905801,0.05771365,0.00158228,0.04803493,-0.00781250
2025-07-09,0.00238092,0.05603448,0.00888889,0.02154396,0.00419727,0.09952607,0.04166667,0.06692913
2025-07-10,-0.00593824,0.02448980,-0.00881057,0.00175743,0.00000000,0.04022989,0.02400000,0.03321033
2025-07-11,0.00358427,-0.01195219,-0.00444444,-0.00438590,-0.01671891,-0.04696133,-0.01171875,0.01428571
2025-07-14,-0.03333337,-0.03225806,-0.02232143,-0.01057276,-0.01381509,-0.02028986,0.00395257,-0.02464789
2025-07-15,0.02709365,0.10000000,0.01369863,0.01513803,0.04525862,0.04437870,0.03937008,0.00722022
2025-07-16,0.04316545,0.02651515,-0.00450450,0.00964918,0.01340206,0.01416431,-0.01515152,0.01075269
2025-07-17,0.01264366,-0.01476015,-0.00904977,0.00347524,-0.01017294,-0.01256983,-0.01538462,-0.01418440
2025-07-18,-0.00113506,-0.00374532,0.00913242,0.02077920,0.05344296,-0.00141443,0.03515625,0.01438849
2025-07-21,-0.00113635,0.00375940,-0.05882353,-0.00763360,-0.00975610,0.00849858,-0.00754717,0.01063830
2025-07-22,-0.04209334,-0.03745318,-0.03846154,-0.01538456,-0.02463054,-0.02808989,-0.03422053,0.00350877
2025-07-23,0.04038007,0.02334630,0.00500000,0.00260414,-0.00202020,0.02312139,-0.00984252,0.00000000
2025-07-24,0.00228316,0.00760456,0.00995025,0.01212116,0.00101215,0.04378531,0.00397614,0.00000000
2025-07-25,0.01252846,-0.01132075,0.09852217,-0.00256627,0.00505561,0.04330176,0.00396040,0.00000000
2025-07-28,0.03487062,0.01526718,-0.01345291,0.01114924,0.03118712,0.04280156,0.03747535,-0.02097902
2025-07-29,-0.04347826,0.05263158,0.02272727,-0.00763360,-0.00975610,-0.03606965,-0.00570342,-0.02857143
2025-07-30,-0.00454547,0.01428571,-0.00888889,0.00170944,-0.00985222,-0.03741935,0.00191205,0.01470588
2025-07-31,-0.01826482,-0.03169014,0.00448430,0.02901025,0.09950249,0.09919571,0.04198473,-0.00724638
2025-08-01,0.00000000,0.00000000,0.00000000,0.00082913,0.00000000,0.00000000,0.00000000,0.00000000
2025-08-04,-0.00581395,-0.01818182,-0.04017857,-0.01656999,0.00452489,-0.04878049,-0.04945055,-0.02919708
2025-08-05,0.00701753,0.00370370,0.00465116,0.01937662,0.01351351,0.00897436,-0.00385356,0.00751880
2025-08-06,-0.01509867,-0.01107011,0.03703704,-0.00165293,-0.01333333,-0.01651842,-0.01934236,-0.01492537
2025-08-07,0.03183959,0.01492537,0.01785714,0.02566229,0.03153153,0.00129199,0.03155819,0.02651515
2025-08-08,-0.01142857,0.00735294,0.00438596,0.02179173,0.00436681,-0.00774194,0.05162524,-0.00369004
2025-08-11,-0.00578035,0.04014599,0.00436681,0.01658768,0.00434783,0.00520156,0.01090909,0.00370370
2025-08-12,-0.00697673,-0.02807018,-0.01739130,0.00310800,0.01731602,0.02975420,-0.01258993,0.00369004
2025-08-13,0.01639346,-0.00361011,0.00442478,0.01161894,0.02127660,-0.00753769,0.02914390,0.00735294
2025-08-14,0.02649764,0.00000000,0.09691630,-0.00076571,0.00833333,0.04430380,0.04070796,0.01459854
2025-08-15,-0.00897862,-0.01811594,-0.00401606,0.00613026,0.05785124,0.09575758,0.07823129,-0.01438849
2025-08-18,0.09966019,0.04797048,-0.00806452,0.02208682,0.01953125,0.09955752,0.09936909,0.02919708
2025-08-19,-0.03398554,-0.02112676,-0.02032520,-0.02757078,-0.05747126,-0.00503018,-0.03012912,-0.01418440
2025-08-20,-0.03304910,-0.03956835,-0.07053942,-0.04291191,-0.06504065,-0.06370071,-0.06065089,-0.02517986
2025-08-21,0.00882032,0.00000000,0.00892857,0.01521221,0.07391304,0.00323974,0.01732283,0.00738007
2025-08-22,-0.01311472,0.01123596,-0.02654867,-0.00236598,-0.02429150,-0.06566200,-0.00773994,0.00000000
2025-08-25,0.03875969,0.03703704,0.02727273,0.02766802,0.03734440,0.04608295,-0.04212168,0.03296703
2025-08-26,-0.00319833,0.01428571,0.00884956,0.00538459,0.00000000,0.01431718,-0.01628664,-0.00709220
2025-08-27,0.00962568,0.07042254,0.09649123,0.02371847,0.02400000,0.01194354,0.09933775,0.00000000
2025-08-28,-0.00211869,-0.01315789,0.00000000,-0.00224213,-0.02343750,-0.02145923,0.05572289,-0.01071429
2025-08-29,-0.01592357,-0.03666667,0.10000000,0.01797751,-0.02400000,0.05263158,0.04992867,-0.01083032
2025-09-01,-0.01941743,-0.06920415,0.09818182,-0.03679176,-0.05327869,-0.04375000,-0.07336957,-0.00729927
2025-09-02,-0.01430146,-0.02602230,0.01655629,-0.01069521,-0.00432900,0.02178649,-0.04105572,0.00000000
2025-09-03,0.00781255,0.01145038,0.01954397,0.00386102,0.01304348,0.03837953,-0.01987768,0.02573529
2025-09-04,-0.00110749,0.00754717,0.01597444,0.00000000,-0.04291845,-0.00821355,-0.04056162,-0.00716846
2025-09-05,0.00000000,0.00374532,0.09748428,0.02230769,0.04484305,0.01656315,0.02764228,0.03610108
2025-09-08,0.01662971,-0.00373134,-0.01432665,0.00677202,-0.01716738,0.02036660,-0.02689873,-0.00348432
2025-09-09,-0.00545256,0.01123596,0.02325581,0.00747380,0.06986900,-0.05588822,0.02439024,0.05594406
2025-09-10,-0.00767541,0.04814815,-0.01136364,0.02596442,0.02448980,0.00634249,0.03492063,-0.01324503
2025-09-11,-0.03314917,0.00706714,-0.03160920,-0.00144610,0.05577689,0.01155462,-0.01993865,-0.00671141
2025-09-12,0.02971427,0.01403509,-0.05044510,-0.00579297,0.01509434,-0.02596054,-0.02034429,0.00337838
2025-09-15,-0.00110986,-0.01730104,-0.00312500,-0.01310993,-0.02230483,-0.02878465,-0.04632588,0.00000000
2025-09-16,0.03555552,0.07042254,0.07523511,0.00738003,-0.02281369,0.04390779,-0.00335008,0.03367003
2025-09-17,-0.00643775,-0.02960526,-0.00583090,-0.00512818,0.02334630,0.02839117,-0.01008403,-0.01628664
2025-09-18,0.03779698,0.00677966,0.09970674,0.02135493,0.01520913,-0.02249489,0.01867572,0.00000000
2025-09-19,-0.00104057,0.06060606,-0.01600000,-0.00793076,-0.03370787,0.00418410,-0.02666667,-0.04635762
2025-09-22,0.01041667,0.00634921,0.09485095,0.00363373,0.00775194,0.00208333,0.04794521,-0.02430556
2025-09-23,-0.00618555,0.00315457,-0.00247525,0.00144819,0.03461538,-0.01039501,0.04248366,-0.02135231
2025-09-24,-0.01244818,-0.01257862,0.00744417,-0.00867678,-0.03717472,-0.03781513,0.00156740,-0.03272727
2025-09-25,0.02415970,0.00000000,-0.00492611,-0.01167030,-0.03088803,0.00109170,-0.05320814,0.01127820
2025-09-26,-0.05948721,-0.05095541,0.04207921,-0.02583029,-0.02390438,-0.03162486,-0.01487603,-0.02602230
2025-09-30,0.01308620,0.01677852,0.07600950,0.02878789,0.00000000,0.02477477,0.05536913,0.00381679
2025-10-01,-0.00538213,0.02310231,0.00220751,0.00000000,0.00408163,0.00109890,0.00635930,-0.02281369
2025-10-02,0.00757572,-0.01290323,0.00000000,0.01620031,0.05284553,0.02085620,0.03791469,-0.00389105
2025-10-03,0.00214828,0.01960784,-0.01541850,0.01666663,0.00772201,0.00645161,0.02283105,0.03125000
2025-10-07,0.01178991,0.01282051,-0.04921700,-0.00071271,-0.05363985,0.02991453,-0.00744048,0.00378788
2025-10-08,0.04872880,0.01265823,0.02588235,-0.00071328,-0.03238866,0.01452282,0.00449775,0.00754717
2025-10-09,0.02525253,0.00625000,0.05275229,0.01213420,0.03347280,-0.05521472,0.02537313,0.00749064
2025-10-13,-0.04137928,-0.04658385,-0.01089325,-0.01551483,-0.02834008,-0.07900433,-0.02620087,-0.02230483
2025-10-14,-0.03597122,-0.04885993,0.00220264,-0.01575933,-0.02500000,-0.08578143,-0.07473842,-0.00760456
2025-10-15,0.02558629,0.08561644,0.07912088,0.02765649,-0.02564103,0.00771208,0.05654281,0.00766284
2025-10-16,0.00311853,0.04416404,-0.01018330,0.01203967,0.00000000,0.02806122,-0.00152905,0.01140684
2025-10-17,-0.01658030,-0.03021148,-0.00411523,-0.01329598,-0.03070175,-0.01240695,-0.01990812,0.00000000
2025-10-20,0.00632243,-0.00311526,-0.01033058,0.01205674,0.01809955,0.09924623,0.03437500,0.00751880
2025-10-21,0.04712042,0.00000000,0.02296451,0.01401540,0.00444444,-0.02285714,-0.01661631,0.00000000
2025-10-22,0.00000000,-0.00625000,0.00612245,-0.00552867,-0.00884956,-0.03859649,-0.00921659,-0.00746269
2025-10-23,-0.01599998,-0.01886792,-0.00811359,-0.00138989,-0.00446429,-0.02433090,0.01085271,-0.02631579
2025-10-27,0.03150405,0.04807692,0.01226994,0.02505217,0.04484305,0.03615960,0.03834356,0.03088803
2025-10-28,-0.01477833,-0.00611621,-0.03232323,0.02579770,0.07725322,0.06257521,0.01477105,-0.01498127
2025-10-29,0.01000000,0.02153846,0.09812109,0.01389808,-0.00398406,0.09060023,0.03784571,-0.01140684
2025-10-30,-0.03168314,-0.03614458,-0.03422053,0.00848565,0.02000000,-0.09968847,0.02664797,0.00769231
2025-10-31,0.09918197,0.02187500,0.03543307,0.01812296,0.06666667,-0.01845444,0.05327869,0.00000000
2025-11-03,0.09767442,0.09174312,-0.07224335,0.00953596,0.03676471,-0.04112808,0.00778210,-0.00763359
2025-11-04,0.04237288,-0.05602241,-0.00819672,-0.01070529,0.04255319,-0.01838235,0.01673102,0.01153846
2025-11-05,0.04878049,-0.03422315,-0.00206612,-0.01209418,-0.02040816,-0.02871411,0.00506329,0.01140684
2025-11-06,-0.02325581,0.00914636,0.03519669,0.02061854,0.00694444,0.04113111,0.00125945,-0.03007519
2025-11-07,-0.04365079,-0.02416924,-0.04800000,-0.02083333,-0.05517241,0.03580247,-0.04402516,-0.02325581
2025-11-10,0.00000000,0.01857589,-0.00840336,0.01934237,-0.00729927,-0.00476758,0.01052632,-0.00793651
2025-11-11,0.01244813,0.01215808,-0.06567797,-0.00316257,-0.02941176,-0.02035928,-0.01692708,-0.00800000
2025-11-12,0.00819672,0.00600593,-0.00680272,-0.00317260,0.01893939,0.00244499,0.07814570,0.00403226
2025-11-13,0.05284553,0.06567170,-0.00228311,0.00000000,0.02230483,0.05609756,-0.01351351,0.00000000
2025-11-14,-0.07335907,-0.03173763,0.00457666,-0.01336728,0.00363636,0.00461894,-0.00996264,-0.01204819
2025-11-17,0.02500000,-0.02332362,0.00455581,0.00967739,0.05072464,0.00919540,0.03522013,0.00000000
2025-11-18,-0.02845528,0.01492537,-0.02040816,-0.03961661,-0.06896552,-0.04328018,-0.05953827,-0.04878049
2025-11-19,-0.01673640,-0.05588235,-0.00925926,-0.00199599,-0.01481481,-0.03809524,0.00258398,-0.00854701
2025-11-20,0.00851064,0.06853583,0.09813084,0.04133333,0.07518797,0.07673267,0.07216495,0.02155172
2025-11-21,-0.06329114,-0.06705539,-0.01702128,-0.05057618,-0.08391608,-0.04482759,-0.05649038,-0.03375527
2025-11-24,0.09909910,0.02500000,0.07142857,0.00000000,0.00763359,0.06738869,0.01019108,0.00436681
2025-11-25,0.09836066,0.07317073,0.01616162,0.02697233,0.09848485,0.08229989,0.05674653,0.03043478
2025-11-26,-0.01865672,0.01420455,0.05168986,0.02429421,0.01379310,0.10000000,0.02625298,0.09704641
2025-11-27,-0.01140684,0.04761905,0.03969754,0.02243586,0.01700680,0.01325758,0.00465116,0.03076923
2025-11-28,0.10000000,-0.00267380,0.02909091,0.01755484,0.02006689,-0.01308411,0.01851852,0.04104478
2025-12-01,-0.01398601,0.05630027,-0.09893993,-0.02156497,-0.03278689,0.00378788,-0.05681818,0.03584229
2025-12-02,0.07092199,-0.00507614,0.00392157,-0.00629725,-0.02372881,0.00377358,-0.00722892,-0.02076125
2025-12-03,-0.03311258,0.00255102,0.00976562,0.00316858,-0.00694444,0.01879699,0.00364078,-0.01060071
2025-12-04,-0.01369863,0.01017812,-0.00580271,-0.00694881,-0.00349650,0.00000000,-0.00604595,0.00357143
2025-12-05,0.02430556,0.08312343,-0.00389105,0.01653939,0.04912281,0.03874539,0.02189781,0.01423488
2025-12-08,0.03050847,0.02558140,-0.01562500,0.00625785,-0.00668896,0.00000000,0.00238095,0.01052632
2025-12-09,0.09868421,0.02494331,0.06150794,-0.00124381,0.01010101,0.02309059,0.00950119,-0.01388889
2025-12-10,0.03592814,0.00663717,0.00373832,0.01681198,0.06666667,0.03993056,0.01647059,0.02816901
2025-12-11,0.00289017,-0.01098901,-0.00744879,0.00000000,-0.00312500,-0.05676127,-0.00462963,-0.04452055
2025-12-12,0.04899135,0.00000000,0.05065666,0.00612372,0.00626959,0.08318584,0.03023256,0.00716846
2025-12-15,0.00549451,-0.01555556,-0.00535714,-0.01278156,0.00000000,0.00816993,-0.02031603,0.01067616
2025-12-16,-0.08469945,-0.03386005,-0.00538600,-0.02157826,-0.06853583,-0.01782820,-0.06682028,0.00000000
2025-12-17,0.00597015,-0.00934579,-0.07220217,-0.00693130,0.00000000,-0.00660066,0.02222222,0.00352113
2025-12-18,0.00000000,-0.02358491,-0.00389105,-0.00380713,0.00334448,-0.01661130,-0.00362319,-0.00350877
2025-12-19,0.03264095,0.03864734,0.02539062,0.01847134,0.03333333,-0.01182432,0.03515152,-0.00704225
2025-12-22,0.09770115,0.02558140,-0.01333333,0.01626018,0.03225806,0.04273504,0.06323185,-0.00709220
2025-12-23,-0.01308901,-0.02267574,-0.00193050,0.00246159,0.00937500,-0.02459016,0.02533040,-0.00714286
2025-12-24,-0.00265252,0.00696056,0.01934236,0.01289129,0.04643963,0.01512605,0.06981740,-0.00719424
2025-12-26,0.00797872,0.01612903,0.09867173,0.01515152,-0.02958580,0.00496689,0.00000000,0.00362319
2025-12-29,-0.03430079,0.00000000,-0.04145078,0.00417909,0.02134146,-0.01153213,0.00803213,0.02527076
2025-12-30,0.01092896,-0.00453515,0.03603604,0.00059454,-0.01791045,0.00833333,-0.03784861,0.00000000
2025-12-31,-0.01081081,0.00227790,-0.01217391,0.00475341,0.00000000,0.01322314,0.02277433,0.00704225
2026-01-02,-0.02185792,-0.00454545,0.01936620,-0.00709633,-0.03343465,0.04404568,-0.02530364,0.02797203
2026-01-05,0.02234637,0.05022831,0.05699482,0.00000000,0.01886792,-0.03437500,-0.01349948,0.03741497
2026-01-06,0.00546448,0.00217391,0.02287582,0.00000000,0.04629630,-0.01456311,0.00210526,-0.02622951
2026-01-07,0.01086957,-0.01952278,0.05591054,0.00000000,-0.06784661,0.02134647,-0.02310924,0.00336700
2026-01-08,0.06182796,0.00663717,-0.03933434,0.00000000,-0.02215190,0.00803859,0.00430108,-0.03020134
2026-01-09,0.09620253,-0.00879121,0.09921260,0.00000000,0.01294498,-0.02392344,-0.00214133,-0.01730104
2026-01-12,0.07621247,0.07982262,-0.00573066,0.00000000,0.02875399,0.09967320,0.02038627,0.01760563
2026-01-13,-0.09871245,0.04312115,-0.00576369,0.00000000,0.01552795,-0.02080238,0.00736067,0.02768166
2026-01-14,0.02619048,-0.01574803,0.01304348,0.00000000,0.02140673,0.01517451,0.01252610,0.01010101
2026-01-15,0.03016241,-0.00200000,-0.01287554,0.00000000,-0.05988024,0.00448430,-0.00824742,-0.00666667
2026-01-16,-0.01576577,0.09819639,0.02463768,0.00000000,0.03503185,-0.00446429,0.02286902,0.01006711
2026-01-19,-0.02517162,0.09854015,-0.02121641,0.00000000,-0.02769231,-0.03736921,-0.04369919,-0.01328904
2026-01-20,0.06572770,0.02325581,0.08092486,0.00000000,0.02215190,0.09937888,0.00956429,0.00000000
2026-01-21,-0.02202643,0.04220779,0.02272727,0.00000000,-0.03405573,0.08757062,-0.02526316,-0.01346801
2026-01-22,0.05630631,0.01869159,-0.01960784,0.00000000,0.06410256,0.00649351,0.04967603,0.01365188
2026-01-23,-0.01705757,0.03669725,0.04133333,0.00000000,0.08433735,0.00903226,0.03703704,0.09764310
2026-01-26,0.01518438,-0.01769912,0.04097311,0.00000000,-0.03333333,0.04347826,0.01587302,0.08588957
2026-01-27,0.02991453,0.06306306,0.05166052,0.00000000,0.04597701,0.00367647,0.03515625,0.00282486
2026-01-28,0.07053942,0.03813559,-0.06081871,0.00000000,0.04395604,0.09890110,0.01698113,0.00281690
2026-01-29,-0.05038760,-0.06258503,-0.02864259,0.00000000,-0.05789474,0.10000000,-0.05380334,0.00000000
2026-01-30,-0.04285714,0.09869376,0.00128205,0.00000000,-0.02513966,0.01010101,-0.01372549,-0.01123596
2026-02-02,-0.05543710,-0.03566711,0.03969270,0.00000000,0.02292264,-0.00100000,-0.01590457,-0.03125000
2026-02-03,0.06772009,0.05479452,0.09975369,0.00000000,0.03921569,0.09609610,0.02020202,0.05278592
2026-02-04,0.06342495,0.00779221,0.02015677,0.00000000,0.09973046,0.03652968,0.06336634,0.00278552
2026-02-05,-0.04572565,-0.05798969,-0.02854007,0.00000000,-0.04411765,-0.09691630,-0.03165736,-0.01666667
