id,category,name,desc,alias,waste,kcal,kcal_adj,water,protein,fat,satfat,carb,fiber,sugar,sodium,vitA,vitC,potassium,calcium,magnesium,iron,zinc
E3000201,蔬菜類,紫色甘藍,"樣品狀態:生,紫色種; 前處理描述:去粗莖,混合均勻打碎","紫甘藍,紫色高麗菜,紅色高麗菜,紅玻璃菜,紅玉菜",,28.4625,24.4204,91.6715,1.484,0.1836,,5.9071,2.1274,2.3507,13.3745,,0.1385,250.473,51.033,14.64,0.3835,0.2895
E3000301,蔬菜類,甘藍芽,樣品狀態:生; 前處理描述:混合均勻打碎,高麗菜芽,,33.0137,29.0218,90.47,2.6525,0.5995,0.0,5.3965,2.101,,12.061,,0.0843,312.094,74.637,16.8595,1.132,0.6245
E3000401,蔬菜類,冷凍甘藍,樣品狀態:冷凍包裝; 前處理描述:混合均勻打碎,"高麗菜,包菜,洋白菜,玻璃菜,玉菜,捲心菜,球葉甘藍,結球甘藍,蕃芥藍",,20.4849,16.1529,93.94,1.286,0.1,,4.174,2.28,,20.9,,0.0481,120.0,49.3,13.9,0.25,0.21
E3000501,蔬菜類,羽衣甘藍(有機),"樣品狀態:生,冷藏袋裝; 前處理描述:混合均勻打碎",,0.0,35.2175,27.9411,88.91,2.956,0.8998,0.2632,5.1132,3.8297,0.298,59.62,0.3811,0.182,395.81,499.68,62.41,1.01,0.26
E3010101,蔬菜類,脫水甘藍,樣品狀態:乾貨; 前處理描述:混合均勻打碎,,,340.7258,308.381,4.728,6.856,0.06,,82.631,17.0236,,1351.4656,,1.722,634.8859,285.1053,72.0933,2.3045,0.9852
E3100101,蔬菜類,甘藷葉,"樣品狀態:生; 前處理描述:去粗莖,混合均勻打碎","地瓜葉,番藷葉,過溝菜(藷同薯)",20.1,27.8434,21.5981,90.9326,3.1552,0.2784,0.1235,4.4222,3.287,0.0,39.2764,,0.2033,401.4512,105.3541,34.7698,2.5009,0.4907
E3200102,蔬菜類,蚵仔白菜(2022年取樣),"樣品狀態:生,不結球白菜; 前處理描述:去根部,混合均勻打碎","白菜,青菜,散葉白菜,無心菜,菘,不結球白菜,尼龍白菜,皺(碎/曲)葉白菜,皺葉中蕓苔",9.1,13.0932,10.4712,95.62,1.399,0.3098,0.1143,1.7525,1.38,0.4,39.71,0.1437,0.0,223.34,128.7,21.15,0.8,0.0
E3200201,蔬菜類,荷葉白菜,"樣品狀態:生,不結球白菜; 前處理描述:去根部,混合均勻打碎","白菜,青菜,散葉白菜,無心菜,菘,不結球白菜",9.7,14.4486,12.0757,94.784,1.436,0.1004,,2.5246,1.2489,,91.2009,,0.1,244.8523,131.4449,155.3117,0.7197,0.6736
E3200301,蔬菜類,葵扇白菜,"樣品狀態:生,不結球白菜; 前處理描述:去根部,混合均勻打碎","白菜,青菜,散葉白菜,無心菜,菘,不結球白菜,江戶(門)白菜,黑葉白菜,扇子白菜,黑芥菜,排菜",10.8,13.8586,11.2361,95.095,1.552,0.073,,2.3542,1.3803,,47.3983,,0.103,236.1646,119.4154,140.9022,0.4083,1.4021
E3200401,蔬菜類,黑葉白菜(短梗),"樣品狀態:生,不結球白菜; 前處理描述:去根部,混合均勻打碎","白菜,青菜,散葉白菜,無心菜,菘,不結球白菜",11.4,15.1397,12.702,94.749,1.343,0.0386,,2.8969,1.283,,56.9583,,0.072,283.3948,100.6832,118.6705,0.7274,0.9141
